ExperimentID,Tier,Pattern,HotAccessCount,ColdAccessInterval,NUMALocalAccess,NUMARemoteAccess,DRAMAccess,PMEMAccess,MinLatency,P50Latency,P99Latency,MaxLatency,MeanLatency,MigrationMinLatency,MigrationP50Latency,MigrationP99Latency,MigrationMaxLatency,MigrationMeanLatency,LocalToRemote,RemoteToLocal,PMEMToRemote,RemoteToPMEM,LocalToPMEM,PMEMToLocal,DRAMToPMEM,PMEMToDRAM,Throughput
131,2,"uniform,uniform,skewed",1,100,,,29920,80,25,34.6779,136.564,714,35.0352,21711,27771.1,41396.3,104548,27746.3,,,,,,,602,0,1.68973e+06
132,2,"uniform,uniform,skewed",1,100,,,29828,172,24,34.7169,217.184,824,39.4741,21689,25683,35357.9,110797,26834.5,,,,,,,668,0,1.56988e+06
133,2,"uniform,uniform,skewed",1,100,,,29827,173,24,34.8885,195.669,1703,41.8861,21183,27206.6,36271.2,143262,27468.8,,,,,,,585,0,1.73152e+06
134,2,"uniform,uniform,skewed",1,100,,,29916,84,24,33.7018,135.635,922,35.749,21675,28141.1,33839.3,116190,28254.6,,,,,,,595,0,1.67748e+06
135,2,"uniform,uniform,skewed",1,100,,,29835,165,24,34.6032,227.039,1048,39.2937,21814,27185.5,73374,116616,27774.5,,,,,,,649,0,1.56214e+06
136,2,"uniform,uniform,skewed",1,200,,,30000,0,25,33.7669,123.266,617,36.3729,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.7493e+07
137,2,"uniform,uniform,skewed",1,200,,,30000,0,24,33.4951,182.614,505,37.2109,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.68739e+07
138,2,"uniform,uniform,skewed",1,200,,,30000,0,24,35.0294,162.743,483,37.3543,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.67707e+07
139,2,"uniform,uniform,skewed",1,200,,,30000,0,24,33.031,56.0954,514,34.3101,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.91459e+07
140,2,"uniform,uniform,skewed",1,200,,,30000,0,24,34.819,173.438,2503,39.0931,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.55799e+07
141,2,"uniform,uniform,skewed",1,500,,,30000,0,24,328.52,8804.15,63754,633.378,18446744073709551615,0,0,0,-nan,,,,,,,0,0,1.57884e+06
142,2,"uniform,uniform,skewed",1,500,,,30000,0,24,35.1337,117.114,469,34.9977,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.85733e+07
143,2,"uniform,uniform,skewed",1,500,,,30000,0,24,34.9489,139.451,526,37.6425,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.65657e+07
144,2,"uniform,uniform,skewed",1,500,,,30000,0,24,34.5503,173.31,3512,38.5553,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.59368e+07
145,2,"uniform,uniform,skewed",1,500,,,30000,0,24,33.0366,259.773,520,36.2973,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.75503e+07
146,2,"uniform,uniform,skewed",1,1000,,,30000,0,24,35.8218,459.568,720,46.8575,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.13413e+07
147,2,"uniform,uniform,skewed",1,1000,,,30000,0,25,35.5521,177.128,5068,40.6681,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.45893e+07
148,2,"uniform,uniform,skewed",1,1000,,,30000,0,25,34.0595,106.128,540,36.9231,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.70833e+07
149,2,"uniform,uniform,skewed",1,1000,,,30000,0,25,32.8802,104.131,420,33.2112,18446744073709551615,0,0,0,-nan,,,,,,,0,0,3.01103e+07
150,2,"uniform,uniform,skewed",1,1000,,,30000,0,24,34.6884,226.599,3442,38.2462,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.61464e+07
151,2,"uniform,uniform,skewed",5,10,,,17285,12715,25,36.4745,780.878,9445,72.7268,20746,25339.9,44988.2,163622,26483.7,,,,,,,4124,866,223321
152,2,"uniform,uniform,skewed",5,10,,,15618,14382,24,36.7311,856.339,9609,98.5383,20649,27926,45082.6,188824,28719.9,,,,,,,4269,1187,187909
153,2,"uniform,uniform,skewed",5,10,,,14954,15046,24,36.836,954.69,8927,89.4476,20607,25797.7,38833.5,109188,26840.8,,,,,,,4154,1399,197719
154,2,"uniform,uniform,skewed",5,10,,,15127,14873,24,35.4089,717.795,9689,83.6695,20948,25605.8,38007.2,163223,26831.9,,,,,,,4008,1433,202017
155,2,"uniform,uniform,skewed",5,10,,,14646,15354,24,35.8887,888.109,9047,95.5237,20826,25700.6,36687.9,109067,26695.3,,,,,,,4285,1335,196215
156,2,"uniform,uniform,skewed",5,100,,,29839,161,24,33.0028,256.575,6468,41.5957,23745,27444.7,79379.1,118855,28145.7,,,,,,,651,0,1.5329e+06
157,2,"uniform,uniform,skewed",5,100,,,29874,126,25,34.8546,335.1,3614,36.6844,24096,27373.5,39773.1,366965,28508.4,,,,,,,597,0,1.65562e+06
